,OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES,PART_REMOVAL
7651,VST,955,737,25,40CAQRFV,AP9D72PK1Q,S9Q1A4T,3/28/2018 05:22:00 PM,3/28/2018,18,0,68.0,16.0,0,0,1
7652,VST,955,737,25,NHZ16T4H,LX7PIFTPP9,S24XFRX,12/29/2015 02:35:20 PM,12/25/2015,16,0,68.0,16.0,0,0,1
7653,VST,955,737,25,NHZ16T4H,LX7PIFTPP9,SVX8G4O,7/31/2016 05:15:00 PM,7/31/2016,16,0,68.0,16.0,0,0,1
7654,VST,955,737,25,9OEYFG52,8QP3JVY08X,SHGUYAR,12/30/2015 09:45:33 AM,1/3/2016,16,0,2.0,16.0,16,15124,1
7655,VST,955,737,25,9OEYFG52,8QP3JVY08X,S2MEVID,10/10/2015 03:11:53 PM,2/1/2016,15,5,52.0,10.0,200,7081,1
7656,VST,955,737,25,9OEYFG52,8QP3JVY08X,S6Q95RG,1/24/2018 08:48:00 AM,7/12/2019,18,39,240.0,6.0,1583,14666,1
7657,VST,955,737,25,S04UURKG,ZANSU11AEN,S5KV4MI,5/8/2016 07:29:14 PM,5/8/2016,16,0,68.0,6.0,0,0,1
7658,VST,955,737,25,S04UURKG,ZANSU11AEN,SA5LHAO,6/13/2016 04:55:30 PM,8/29/2016,16,2,40.0,5.0,230,230,0
7659,VST,955,737,25,S04UURKG,ZANSU11AEN,S0RJUTD,12/3/2016 01:14:08 PM,12/3/2016,17,0,68.0,5.0,0,0,1
7660,VST,955,737,25,S04UURKG,ZANSU11AEN,S6MKHFN,5/8/2016 07:29:16 PM,4/29/2018,16,11,354.0,98.0,2020,2020,1
7661,VST,955,737,25,S04UURKG,ZANSU11AEN,SMMRN7I,11/27/2018 04:53:00 PM,11/27/2018,19,0,68.0,98.0,0,0,1
7662,VST,955,737,25,S04UURKG,ZANSU11AEN,SA5LHAO,12/7/2016 03:46:27 PM,11/24/2018,17,35,352.0,74.0,1969,2199,1
7663,VST,955,737,25,S04UURKG,ZANSU11AEN,SVG5KGJ,5/2/2019 10:18:00 PM,5/2/2019,19,0,68.0,74.0,0,0,1
7664,VST,955,737,25,UU75IYXW,4B9JKS3K7D,SVO5CGJ,9/8/2018 10:34:00 PM,9/8/2018,18,0,68.0,74.0,0,0,1
7665,VST,955,737,25,X4YS4FXO,8Q4FWTD45Y,SP66DP9,12/5/2015 12:41:42 PM,1/13/2016,16,4,33.0,6.0,128,129,0
7666,VST,955,737,25,X4YS4FXO,8Q4FWTD45Y,SSBGLXN,12/5/2015 12:41:40 PM,4/29/2016,16,10,99.0,15.0,523,524,0
7667,VST,955,737,25,X4YS4FXO,8Q4FWTD45Y,STK1TA5,12/5/2015 12:41:43 PM,5/28/2016,16,10,111.0,20.0,625,626,0
7668,VST,955,737,25,F8F1U0IH,8Q4FWTD45Y,SIPIFRC,6/26/2017 10:47:00 AM,3/4/2019,17,41,299.0,22.0,1698,1781,0
7669,VST,955,737,25,OKW3UUYP,YCTL4X6CZW,SMI2QW7,1/21/2016 09:46:07 AM,1/28/2016,16,0,6.0,1.0,26,1092,0
7670,VST,955,737,25,OKW3UUYP,YCTL4X6CZW,SSMF3S0,9/9/2016 05:35:44 PM,11/22/2016,16,0,34.0,13.0,221,6681,0
7671,VST,955,737,25,OKW3UUYP,YCTL4X6CZW,SN6XF2S,1/23/2017 02:26:24 PM,5/17/2017,17,2,73.0,43.0,404,957,1
7672,VST,955,737,25,OKW3UUYP,YCTL4X6CZW,SOHTP13,2/24/2018 05:03:00 PM,4/11/2018,18,2,21.0,43.0,148,455,1
7673,VST,955,737,25,OKW3UUYP,YCTL4X6CZW,SRREB4O,5/19/2018 07:31:00 AM,7/14/2018,18,0,33.0,2.0,172,3877,1
7674,VST,955,737,25,OKW3UUYP,YCTL4X6CZW,S4PA4O6,8/27/2018 06:49:00 AM,8/27/2018,18,0,68.0,2.0,2,729,1
7675,VST,955,737,25,WAM5V655,A14JWPYONQ,S4M6MK5,12/6/2015 07:42:30 AM,4/28/2017,16,17,276.0,89.0,1569,1587,1
7676,JUE,915,787,34,JTT2NQFO,AVH0SWIHRO,S6V7CFS,7/20/2017 02:50:00 PM,7/20/2017,19,0,68.0,89.0,0,0,1
